source_id,group,coefficient,basis,value,units,status,confidence,notes
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,static,CY_beta,beta_rad,-0.36887023,1/rad,candidate-pending-review,0.40,Extracted from DATCOM CYB at Mach 0.70 alpha -2 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,static,Cl_beta,beta_rad,-0.09837685,1/rad,candidate-pending-review,0.40,Extracted from DATCOM CLB at Mach 0.70 alpha 0 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,static,Cn_beta,beta_rad,0.05838440,1/rad,candidate-pending-review,0.40,Extracted from DATCOM CNB at Mach 0.70 alpha -2 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,CL_q,q_hat,15.12035621,1,candidate-pending-review,0.35,Extracted from DATCOM CLQ at Mach 0.70 alpha -2 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,Cm_q,q_hat,-52.64336222,1,candidate-pending-review,0.35,Extracted from DATCOM CMQ at Mach 0.70 alpha -2 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,CY_p,p_hat,-0.11138300,1,candidate-pending-review,0.35,Extracted from DATCOM CYP at Mach 0.70 alpha 0 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,Cl_p,p_hat,-0.35953102,1,candidate-pending-review,0.35,Extracted from DATCOM CLP at Mach 0.70 alpha 0 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,Cn_p,p_hat,-0.02236254,1,candidate-pending-review,0.30,Extracted from DATCOM CNP at Mach 0.70 alpha 2 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,Cn_r,r_hat,-0.18340379,1,candidate-pending-review,0.35,Extracted from DATCOM CNR at Mach 0.70 alpha 0 deg converted from per degree
DIGITAL_DATCOM_B777_LIKE_M070_CANDIDATE_V0,dynamic,Cl_r,r_hat,0.02931252,1,candidate-pending-review,0.35,Extracted from DATCOM CLR at Mach 0.70 alpha 0 deg converted from per degree
